,Date,Retweets,Replies,Likes,Volume,positive_score,negative_score,neutral_score,positive_percentage,negative_percentage,neutral_percentage,positive_count,negative_count,neutral_count,General_score,Open,Close
2016-04-08,2016-04-08,0.025,0.0,0.0,40,0.15508169727399945,0.023294815502595108,0.8216234803199768,0.1,0.0,0.9,4,0,36,0.1,204.7400054931641,202.5500030517578
2016-04-11,2016-04-11,0.0,0.0,0.06666666666666667,30,0.0916906600197156,0.035939756998171375,0.8723695916434129,0.03333333333333333,0.0,0.9666666666666667,1,0,29,0.03333333333333333,203.3000030517578,200.3800048828125
2016-04-12,2016-04-12,0.0625,0.0,0.0,16,0.04087310633622105,0.024703460512682757,0.9344234429299831,0.0,0.0,1.0,0,0,16,0.0,200.259994506836,200.25
2016-04-13,2016-04-13,0.12,0.0,0.0,25,0.11733883194625377,0.08494252681732178,0.7977186603844166,0.08,0.04,0.88,2,1,22,0.04,202.0,202.7100067138672
2016-04-14,2016-04-14,0.08695652173913043,0.21739130434782608,0.2608695652173913,23,0.09385759845052075,0.12066927422647891,0.7854731367981952,0.0,0.13043478260869565,0.8695652173913043,0,3,20,-0.13043478260869565,202.3500061035156,200.8099975585937
2016-04-15,2016-04-15,0.08333333333333333,0.08333333333333333,0.08333333333333333,12,0.1371452553818623,0.10045720784304041,0.7623975528404117,0.08333333333333333,0.08333333333333333,0.8333333333333334,1,1,10,0.0,202.0599975585937,203.0599975585937
2016-04-18,2016-04-18,0.0,0.0,0.1875,16,0.3214526006486267,0.12079345434904099,0.5577539408113807,0.3125,0.125,0.5625,5,2,9,0.1875,201.8999938964844,201.5800018310547
2016-04-19,2016-04-19,0.0,0.0,0.0,2,0.17505612969398493,0.014373502694070301,0.8105703592300415,0.0,0.0,1.0,0,0,2,0.0,201.97999572753903,204.6300048828125
2016-04-20,2016-04-20,0.5384615384615384,0.0,0.46153846153846156,13,0.25353747548965305,0.09889074629889084,0.6475717608745282,0.3076923076923077,0.07692307692307693,0.6153846153846154,4,1,8,0.23076923076923078,204.52999877929688,198.22999572753903
2016-04-21,2016-04-21,0.4,0.06666666666666667,0.13333333333333333,15,0.13352100917448598,0.23065851734330253,0.6358204831679662,0.06666666666666667,0.2,0.7333333333333333,1,3,11,-0.13333333333333333,198.8999938964844,199.6999969482422
2016-04-22,2016-04-22,0.06666666666666667,0.0,0.13333333333333333,15,0.2567074581980705,0.18941095173358918,0.5538816002508005,0.26666666666666666,0.2,0.5333333333333333,4,3,8,0.06666666666666667,197.8600006103516,197.91000366210935
2016-04-25,2016-04-25,0.08333333333333333,0.16666666666666666,0.0,12,0.19866829024006918,0.21795983022699753,0.5833718773598472,0.16666666666666666,0.16666666666666666,0.6666666666666666,2,2,8,0.0,197.1000061035156,207.009994506836
2016-04-26,2016-04-26,0.18556701030927836,0.024054982817869417,0.11683848797250859,291,0.2428148472585629,0.021895717408610474,0.7352894420553114,0.08247422680412371,0.003436426116838488,0.9140893470790378,24,1,266,0.07903780068728522,208.009994506836,210.07000732421875
2016-04-27,2016-04-27,0.10526315789473684,0.0,0.017543859649122806,57,0.26676500709564016,0.04305976116212834,0.6901752420684748,0.2631578947368421,0.017543859649122806,0.7192982456140351,15,1,41,0.24561403508771928,208.9900054931641,206.42999267578125
2016-04-28,2016-04-28,0.14285714285714285,0.0,0.047619047619047616,21,0.23355487485726675,0.05044376850128172,0.7160013516743978,0.2857142857142857,0.0,0.7142857142857143,6,0,15,0.2857142857142857,207.0,209.75
2016-04-29,2016-04-29,0.28205128205128205,0.05128205128205128,0.1794871794871795,39,0.18871440117557842,0.2600418588337608,0.5512437384862167,0.15384615384615385,0.2564102564102564,0.5897435897435898,6,10,23,-0.10256410256410256,207.63999938964844,212.2400054931641
2016-05-02,2016-05-02,0.29411764705882354,0.058823529411764705,0.6470588235294118,17,0.21158885484670892,0.14205575307064197,0.6463553930687553,0.11764705882352941,0.17647058823529413,0.7058823529411765,2,3,12,-0.058823529411764705,212.25,216.52999877929688
2016-05-03,2016-05-03,0.0,0.06666666666666667,0.0,15,0.36804659217596053,0.06627097483724353,0.5656824370225271,0.4666666666666667,0.0,0.5333333333333333,7,0,8,0.4666666666666667,215.5599975585937,212.6699981689453
2016-05-04,2016-05-04,0.125,0.0,0.5,8,0.18001223355531693,0.12121117254719134,0.6987766111269593,0.125,0.0,0.875,1,0,7,0.125,209.7100067138672,212.42999267578125
2016-05-05,2016-05-05,0.2,0.0,0.0,5,0.031858760863542494,0.13568681553006165,0.8324544072151184,0.0,0.2,0.8,0,1,4,-0.2,212.5,212.0200042724609
2016-05-06,2016-05-06,0.0,0.08695652173913043,0.13043478260869565,23,0.2364598441383113,0.05191645151733053,0.7116237195289653,0.17391304347826086,0.043478260869565216,0.782608695652174,4,1,18,0.13043478260869565,211.02999877929688,212.9199981689453
2016-05-09,2016-05-09,0.13333333333333333,0.013333333333333334,0.08,75,0.1668732251226902,0.018850263829032547,0.8142765052119891,0.09333333333333334,0.0,0.9066666666666666,7,0,68,0.09333333333333334,213.4199981689453,213.47999572753903
2016-05-10,2016-05-10,0.043478260869565216,0.0,0.0,23,0.10478165486584537,0.030190918594598704,0.8650274043497832,0.043478260869565216,0.0,0.9565217391304348,1,0,22,0.043478260869565216,213.1000061035156,216.4900054931641
2016-05-11,2016-05-11,2.3846153846153846,0.07692307692307693,1.7692307692307692,13,0.08967502200259608,0.12202730173101792,0.7882976830005646,0.0,0.15384615384615385,0.8461538461538461,0,2,11,-0.15384615384615385,216.009994506836,217.22000122070312
2016-05-12,2016-05-12,0.21428571428571427,0.14285714285714285,0.7142857142857143,14,0.05802805455667628,0.21917632654575364,0.7227956104491439,0.0,0.14285714285714285,0.8571428571428571,0,2,12,-0.14285714285714285,219.22999572753903,213.9600067138672
2016-05-13,2016-05-13,0.11538461538461539,0.019230769230769232,0.057692307692307696,52,0.22427229651321584,0.07916665204370822,0.6965610566190802,0.17307692307692307,0.057692307692307696,0.7692307692307693,9,3,40,0.11538461538461539,212.6999969482422,214.5800018310547
2016-05-16,2016-05-16,0.16666666666666666,0.0,0.14285714285714285,42,0.15336673241108656,0.05615909041703811,0.7904741724154779,0.11904761904761904,0.023809523809523808,0.8571428571428571,5,1,36,0.09523809523809523,206.72000122070312,203.6000061035156
